language,label,count,max_label_count,ratio,F1,augment?,samples_to_generate
tel,political,536,590,0.908,,False,0
tel,racial/ethnic,422,590,0.715,0.4872,False,0
tel,religious,223,590,0.378,0.2909,False,0
tel,gender/sexual,330,590,0.559,0.3784,False,0
tel,other,590,590,1.0,0.5517,False,0
mya,political,766,1369,0.56,,False,0
mya,racial/ethnic,160,1369,0.117,,False,0
mya,religious,93,1369,0.068,,False,0
mya,gender/sexual,321,1369,0.234,,False,0
mya,other,1369,1369,1.0,,False,0
amh,political,2334,2334,1.0,,False,0
amh,racial/ethnic,907,2334,0.389,0.5636,False,0
amh,religious,69,2334,0.03,0.4,True,69
amh,gender/sexual,20,2334,0.009,0.0,True,20
amh,other,867,2334,0.371,0.5743,False,0
eng,political,1208,1208,1.0,,False,0
eng,racial/ethnic,295,1208,0.244,0.5263,True,295
eng,religious,117,1208,0.097,0.4286,True,117
eng,gender/sexual,75,1208,0.062,0.2857,True,75
eng,other,132,1208,0.109,0.0,True,132
ben,political,1191,1191,1.0,,False,0
ben,racial/ethnic,26,1191,0.022,0.0,True,26
ben,religious,68,1191,0.057,0.25,True,68
ben,gender/sexual,18,1191,0.015,0.5,True,18
ben,other,352,1191,0.296,0.2778,False,0
hau,political,187,187,1.0,,False,0
hau,racial/ethnic,121,187,0.647,0.1667,False,0
hau,religious,98,187,0.524,0.5455,False,0
hau,gender/sexual,30,187,0.16,0.0,True,30
hau,other,15,187,0.08,0.0,True,15
khm,political,1278,4595,0.278,,False,0
khm,racial/ethnic,103,4595,0.022,0.2667,True,103
khm,religious,235,4595,0.051,0.6667,False,0
khm,gender/sexual,119,4595,0.026,0.625,False,0
khm,other,4595,4595,1.0,0.9036,False,0
pan,political,554,554,1.0,,False,0
pan,racial/ethnic,106,554,0.191,0.125,True,106
pan,religious,142,554,0.256,0.381,False,0
pan,gender/sexual,201,554,0.363,0.4,False,0
pan,other,161,554,0.291,0.4667,False,0
pol,political,919,919,1.0,,False,0
pol,racial/ethnic,226,919,0.246,0.7692,False,0
pol,religious,91,919,0.099,0.8571,False,0
pol,gender/sexual,115,919,0.125,0.3077,True,115
pol,other,163,919,0.177,0.375,True,163
arb,political,822,822,1.0,,False,0
arb,racial/ethnic,612,822,0.745,0.5672,False,0
arb,religious,297,822,0.361,0.6,False,0
arb,gender/sexual,387,822,0.471,0.5532,False,0
arb,other,593,822,0.721,0.5231,False,0
hin,political,2117,2117,1.0,,False,0
hin,racial/ethnic,350,2117,0.165,,False,0
hin,religious,1691,2117,0.799,,False,0
hin,gender/sexual,331,2117,0.156,,False,0
hin,other,378,2117,0.179,,False,0
nep,political,362,362,1.0,,False,0
nep,racial/ethnic,295,362,0.815,0.8276,False,0
nep,religious,167,362,0.461,0.8889,False,0
nep,gender/sexual,110,362,0.304,0.7273,False,0
nep,other,248,362,0.685,0.4516,False,0
ita,political,0,783,0.0,,False,0
ita,racial/ethnic,783,783,1.0,,False,0
ita,religious,299,783,0.382,,False,0
ita,gender/sexual,400,783,0.511,,False,0
ita,other,0,783,0.0,,False,0
zho,political,263,1020,0.258,,False,0
zho,racial/ethnic,1020,1020,1.0,0.8624,False,0
zho,religious,89,1020,0.087,0.5,True,89
zho,gender/sexual,759,1020,0.744,0.8158,False,0
zho,other,386,1020,0.378,0.619,False,0
urd,political,2518,2518,1.0,,False,0
urd,racial/ethnic,2034,2518,0.808,0.7378,False,0
urd,religious,2069,2518,0.822,0.7598,False,0
urd,gender/sexual,1916,2518,0.761,0.7182,False,0
urd,other,1898,2518,0.754,0.7215,False,0
rus,political,487,487,1.0,,False,0
rus,racial/ethnic,345,487,0.708,0.5455,False,0
rus,religious,144,487,0.296,0.3077,False,0
rus,gender/sexual,198,487,0.407,0.6316,False,0
rus,other,83,487,0.17,0.0,True,83
swa,political,195,2607,0.075,,False,0
swa,racial/ethnic,2607,2607,1.0,0.7744,False,0
swa,religious,259,2607,0.099,0.7,False,0
swa,gender/sexual,164,2607,0.063,0.2857,True,164
swa,other,583,2607,0.224,0.3571,True,583
ori,political,521,521,1.0,,False,0
ori,racial/ethnic,125,521,0.24,0.4,True,125
ori,religious,157,521,0.301,0.4,False,0
ori,gender/sexual,83,521,0.159,0.0,True,83
ori,other,91,521,0.175,0.0,True,91
deu,political,1367,1367,1.0,,False,0
deu,racial/ethnic,618,1367,0.452,0.6667,False,0
deu,religious,372,1367,0.272,0.6087,False,0
deu,gender/sexual,196,1367,0.143,0.5333,True,196
deu,other,461,1367,0.337,0.1905,False,0
spa,political,946,946,1.0,,False,0
spa,racial/ethnic,656,946,0.693,0.5753,False,0
spa,religious,551,946,0.582,0.5357,False,0
spa,gender/sexual,465,946,0.492,0.7547,False,0
spa,other,465,946,0.492,0.4151,False,0
tur,political,1107,1107,1.0,,False,0
tur,racial/ethnic,419,1107,0.379,0.68,False,0
tur,religious,377,1107,0.341,0.6512,False,0
tur,gender/sexual,118,1107,0.107,0.6154,False,0
tur,other,120,1107,0.108,0.5,True,120
fas,political,1519,1519,1.0,,False,0
fas,racial/ethnic,84,1519,0.055,0.3636,True,84
fas,religious,333,1519,0.219,0.619,False,0
fas,gender/sexual,207,1519,0.136,0.4348,True,207
fas,other,838,1519,0.552,0.6022,False,0
